"SimID","NumObservations","NumSparseCols","MeanJsim"
1,500,1,NA
2,500,1,NA
3,500,1,NA
4,500,1,NA
5,500,1,NA
6,500,1,NA
7,500,1,NA
8,500,1,NA
9,500,1,NA
10,500,1,NA
11,500,3,NA
12,500,3,NA
13,500,3,NA
14,500,3,NA
15,500,3,NA
16,500,3,NA
17,500,3,NA
18,500,3,NA
19,500,3,NA
20,500,3,NA
21,500,6,NA
22,500,6,NA
23,500,6,NA
24,500,6,NA
25,500,6,NA
26,500,6,NA
27,500,6,NA
28,500,6,NA
29,500,6,NA
30,500,6,NA
31,1500,1,NA
32,1500,1,NA
33,1500,1,NA
34,1500,1,NA
35,1500,1,NA
36,1500,1,NA
37,1500,1,NA
38,1500,1,NA
39,1500,1,NA
40,1500,1,NA
41,1500,3,NA
42,1500,3,NA
43,1500,3,NA
44,1500,3,NA
45,1500,3,NA
46,1500,3,NA
47,1500,3,NA
48,1500,3,NA
49,1500,3,NA
50,1500,3,NA
51,1500,6,NA
52,1500,6,NA
53,1500,6,NA
54,1500,6,NA
55,1500,6,NA
56,1500,6,NA
57,1500,6,NA
58,1500,6,NA
59,1500,6,NA
60,1500,6,NA
61,2790,1,NA
62,2790,1,NA
63,2790,1,NA
64,2790,1,NA
65,2790,1,NA
66,2790,1,NA
67,2790,1,NA
68,2790,1,NA
69,2790,1,NA
70,2790,1,NA
71,2790,3,NA
72,2790,3,NA
73,2790,3,NA
74,2790,3,NA
75,2790,3,NA
76,2790,3,NA
77,2790,3,NA
78,2790,3,NA
79,2790,3,NA
80,2790,3,NA
81,2790,6,NA
82,2790,6,NA
83,2790,6,NA
84,2790,6,NA
85,2790,6,NA
86,2790,6,NA
87,2790,6,NA
88,2790,6,NA
89,2790,6,NA
90,2790,6,NA
